customer_id,customer_name,segment,city,region
CUST-0106,Siti Santoso,Consumer,Makassar,Sulawesi
CUST-0107,Bambang Suryani,Consumer,Balikpapan,Kalimantan
CUST-0108,Andi Santoso,Corporate,Palembang,Sumatra
CUST-0109,Dewi Hadi,Consumer,Palembang,Sumatra
CUST-0110,Dewi Wibowo,Consumer,Surabaya,Jawa
CUST-0111,Agus Kurniawan,Consumer,Jakarta Selatan,Jawa
CUST-0112,Nani Hidayat,Consumer,Jakarta Selatan,Jawa
CUST-0113,Ahmad Santoso,Home Office,Balikpapan,Kalimantan
CUST-0114,Dewi Kurniawan,Home Office,Balikpapan,Kalimantan
CUST-0115,Nani Suryani,Corporate,Balikpapan,Kalimantan
CUST-0116,Lestari Hidayat,Home Office,Makassar,Sulawesi
CUST-0117,Agus Prasetyo,Home Office,Makassar,Sulawesi
CUST-0118,Eko Saputra,Consumer,Semarang,Jawa
CUST-0119,Indah Wijaya,Home Office,Medan,Sumatra
CUST-0120,Budi Nugroho,Corporate,Jakarta Selatan,Jawa
CUST-0121,Nani Aminah,Home Office,Balikpapan,Kalimantan
CUST-0122,Yudi Hidayat,Home Office,Jakarta Selatan,Jawa
CUST-0123,Lestari Lestari,Consumer,Palembang,Sumatra
CUST-0124,Dewi Setiawan,Consumer,Makassar,Sulawesi
CUST-0125,Rizky Prasetyo,Consumer,Bandung,Jawa
CUST-0126,Indah Hadi,Consumer,Surabaya,Jawa
CUST-0127,Hendra Wibowo,Home Office,Palembang,Sumatra
CUST-0128,Budi Saputra,Home Office,Palembang,Sumatra
CUST-0129,Hendra Setiawan,Consumer,Palembang,Sumatra
CUST-0130,Eko Prasetyo,Corporate,Jakarta Selatan,Jawa
CUST-0131,Rian Utami,Consumer,Jakarta Selatan,Jawa
CUST-0132,Eko Prasetyo,Consumer,Palembang,Sumatra
CUST-0133,Ahmad Hidayat,Consumer,Medan,Sumatra
CUST-0134,Rina Saputra,Consumer,Makassar,Sulawesi
CUST-0135,Titi Nugroho,Home Office,Medan,Sumatra
CUST-0136,Siti Aminah,Consumer,Medan,Sumatra
CUST-0137,Lestari Santoso,Corporate,Semarang,Jawa
CUST-0138,Maya Pertiwi,Corporate,Yogyakarta,Jawa
CUST-0139,Lestari Lestari,Consumer,Surabaya,Jawa
CUST-0140,Yudi Utami,Home Office,Denpasar,Bali & Nusa Tenggara
CUST-0141,Yudi Santoso,Home Office,Semarang,Jawa
CUST-0142,Dewi Setiawan,Consumer,Jakarta Selatan,Jawa
CUST-0143,Yudi Santoso,Consumer,Surabaya,Jawa
CUST-0144,Nani Suryani,Consumer,Makassar,Sulawesi
CUST-0145,Fajar Lestari,Consumer,Surabaya,Jawa
CUST-0146,Hendra Wijaya,Consumer,Yogyakarta,Jawa
CUST-0147,Rizky Hidayat,Corporate,Yogyakarta,Jawa
CUST-0148,Rian Wijaya,Corporate,Bandung,Jawa
CUST-0149,Fajar Wibowo,Consumer,Palembang,Sumatra
CUST-0150,Agus Hadi,Consumer,Surabaya,Jawa
CUST-0151,Andi Setiawan,Home Office,Surabaya,Jawa
CUST-0152,Budi Lestari,Consumer,Semarang,Jawa
CUST-0153,Fajar Pertiwi,Consumer,Makassar,Sulawesi
CUST-0154,Lestari Lestari,Consumer,Bandung,Jawa
CUST-0155,Dian Hadi,Home Office,Jakarta Selatan,Jawa
CUST-0156,Bambang Hidayat,Consumer,Yogyakarta,Jawa
CUST-0157,Indah Wijaya,Corporate,Bandung,Jawa
CUST-0158,Agus Hidayat,Corporate,Medan,Sumatra
CUST-0159,Rina Kurniawan,Consumer,Yogyakarta,Jawa
CUST-0160,Lestari Hadi,Corporate,Makassar,Sulawesi
CUST-0161,Lestari Wijaya,Consumer,Jakarta Selatan,Jawa
CUST-0162,Dian Saputra,Corporate,Palembang,Sumatra
CUST-0163,Maya Santoso,Corporate,Palembang,Sumatra
CUST-0164,Lestari Lestari,Corporate,Jakarta Selatan,Jawa
CUST-0165,Lestari Santoso,Consumer,Balikpapan,Kalimantan
CUST-0166,Ahmad Kurniawan,Home Office,Jakarta Selatan,Jawa
CUST-0167,Maya Kurniawan,Consumer,Makassar,Sulawesi
CUST-0168,Titi Aminah,Consumer,Balikpapan,Kalimantan
CUST-0169,Nani Hidayat,Consumer,Semarang,Jawa
CUST-0170,Siti Utami,Corporate,Medan,Sumatra
CUST-0171,Budi Suryani,Corporate,Semarang,Jawa
CUST-0172,Rina Wijaya,Consumer,Palembang,Sumatra
CUST-0173,Dewi Saputra,Corporate,Semarang,Jawa
CUST-0174,Ahmad Wijaya,Consumer,Makassar,Sulawesi
CUST-0175,Hendra Suryani,Corporate,Jakarta Selatan,Jawa
CUST-0176,Fajar Wijaya,Consumer,Medan,Sumatra
CUST-0177,Hendra Suryani,Corporate,Semarang,Jawa
CUST-0178,Rina Kurniawan,Consumer,Surabaya,Jawa
CUST-0179,Andi Wibowo,Home Office,Semarang,Jawa
CUST-0180,Hendra Kurniawan,Consumer,Balikpapan,Kalimantan
CUST-0181,Budi Prasetyo,Consumer,Palembang,Sumatra
CUST-0182,Rina Kurniawan,Consumer,Medan,Sumatra
CUST-0183,Ahmad Saputra,Home Office,Balikpapan,Kalimantan
CUST-0184,Indah Nugroho,Home Office,Makassar,Sulawesi
CUST-0185,Rina Suryani,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0186,Andi Saputra,Corporate,Denpasar,Bali & Nusa Tenggara
CUST-0187,Hendra Suryani,Home Office,Jakarta Selatan,Jawa
CUST-0188,Maya Aminah,Corporate,Balikpapan,Kalimantan
CUST-0189,Hendra Hidayat,Corporate,Bandung,Jawa
CUST-0190,Eko Santoso,Consumer,Bandung,Jawa
CUST-0191,Agus Nugroho,Consumer,Yogyakarta,Jawa
CUST-0192,Dewi Nugroho,Home Office,Balikpapan,Kalimantan
CUST-0193,Nani Hidayat,Home Office,Semarang,Jawa
CUST-0194,Bambang Kurniawan,Corporate,Semarang,Jawa
CUST-0195,Eko Saputra,Consumer,Bandung,Jawa
CUST-0196,Rian Pertiwi,Consumer,Yogyakarta,Jawa
CUST-0197,Agus Lestari,Corporate,Semarang,Jawa
CUST-0198,Indah Santoso,Home Office,Palembang,Sumatra
CUST-0199,Agus Setiawan,Home Office,Palembang,Sumatra
CUST-0200,Indah Lestari,Corporate,Jakarta Selatan,Jawa
CUST-0201,Titi Suryani,Corporate,Denpasar,Bali & Nusa Tenggara
CUST-0202,Maya Pertiwi,Consumer,Balikpapan,Kalimantan
CUST-0203,Ahmad Hadi,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0204,Fajar Hadi,Home Office,Palembang,Sumatra
CUST-0205,Indah Setiawan,Corporate,Palembang,Sumatra
CUST-0206,Bambang Nugroho,Consumer,Surabaya,Jawa
CUST-0207,Agus Hadi,Consumer,Medan,Sumatra
CUST-0208,Titi Nugroho,Corporate,Medan,Sumatra
CUST-0209,Lestari Nugroho,Consumer,Bandung,Jawa
CUST-0210,Hendra Hidayat,Consumer,Jakarta Selatan,Jawa
CUST-0211,Maya Wijaya,Corporate,Medan,Sumatra
CUST-0212,Dewi Lestari,Corporate,Palembang,Sumatra
CUST-0213,Agus Kurniawan,Corporate,Surabaya,Jawa
CUST-0214,Rina Aminah,Consumer,Surabaya,Jawa
CUST-0215,Fajar Wijaya,Corporate,Semarang,Jawa
CUST-0216,Indah Kurniawan,Consumer,Palembang,Sumatra
CUST-0217,Rina Hadi,Consumer,Yogyakarta,Jawa
CUST-0218,Dian Setiawan,Corporate,Semarang,Jawa
CUST-0219,Budi Hadi,Corporate,Balikpapan,Kalimantan
CUST-0220,Dian Nugroho,Home Office,Balikpapan,Kalimantan
CUST-0221,Rizky Prasetyo,Corporate,Yogyakarta,Jawa
CUST-0222,Fajar Suryani,Corporate,Semarang,Jawa
CUST-0223,Ahmad Setiawan,Consumer,Palembang,Sumatra
CUST-0224,Bambang Hidayat,Consumer,Bandung,Jawa
CUST-0225,Fajar Nugroho,Consumer,Medan,Sumatra
CUST-0226,Dian Wijaya,Consumer,Yogyakarta,Jawa
CUST-0227,Andi Hadi,Home Office,Semarang,Jawa
CUST-0228,Eko Wibowo,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0229,Budi Setiawan,Home Office,Palembang,Sumatra
CUST-0230,Nani Wibowo,Corporate,Semarang,Jawa
CUST-0231,Dewi Saputra,Corporate,Yogyakarta,Jawa
CUST-0232,Eko Hadi,Corporate,Semarang,Jawa
CUST-0233,Andi Santoso,Corporate,Denpasar,Bali & Nusa Tenggara
CUST-0234,Dian Wijaya,Consumer,Medan,Sumatra
CUST-0235,Indah Wijaya,Consumer,Bandung,Jawa
CUST-0236,Dian Prasetyo,Corporate,Makassar,Sulawesi
CUST-0237,Lestari Hadi,Consumer,Semarang,Jawa
CUST-0238,Bambang Santoso,Consumer,Jakarta Selatan,Jawa
CUST-0239,Siti Wijaya,Corporate,Palembang,Sumatra
CUST-0240,Dewi Pertiwi,Consumer,Bandung,Jawa
CUST-0241,Budi Hidayat,Home Office,Yogyakarta,Jawa
CUST-0242,Budi Wibowo,Home Office,Bandung,Jawa
CUST-0243,Agus Lestari,Home Office,Surabaya,Jawa
CUST-0244,Rian Wibowo,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0245,Indah Utami,Consumer,Bandung,Jawa
CUST-0246,Rizky Lestari,Home Office,Medan,Sumatra
CUST-0247,Ahmad Utami,Consumer,Balikpapan,Kalimantan
CUST-0248,Andi Prasetyo,Home Office,Jakarta Selatan,Jawa
CUST-0249,Nani Santoso,Home Office,Jakarta Selatan,Jawa
CUST-0250,Nani Saputra,Home Office,Medan,Sumatra
CUST-0251,Dian Utami,Consumer,Semarang,Jawa
CUST-0252,Dewi Wibowo,Consumer,Bandung,Jawa
CUST-0253,Rian Utami,Home Office,Bandung,Jawa
CUST-0254,Ahmad Pertiwi,Consumer,Medan,Sumatra
CUST-0255,Nani Pertiwi,Consumer,Jakarta Selatan,Jawa
CUST-0256,Rizky Suryani,Corporate,Yogyakarta,Jawa
CUST-0257,Rizky Aminah,Home Office,Semarang,Jawa
CUST-0258,Maya Santoso,Corporate,Palembang,Sumatra
CUST-0259,Bambang Aminah,Corporate,Semarang,Jawa
CUST-0260,Rizky Saputra,Consumer,Semarang,Jawa
CUST-0261,Eko Kurniawan,Corporate,Denpasar,Bali & Nusa Tenggara
CUST-0262,Titi Saputra,Home Office,Surabaya,Jawa
CUST-0263,Ahmad Pertiwi,Consumer,Medan,Sumatra
CUST-0264,Bambang Nugroho,Corporate,Palembang,Sumatra
CUST-0265,Nani Prasetyo,Home Office,Semarang,Jawa
CUST-0266,Agus Hadi,Corporate,Makassar,Sulawesi
CUST-0267,Lestari Setiawan,Corporate,Jakarta Selatan,Jawa
CUST-0268,Agus Pertiwi,Corporate,Denpasar,Bali & Nusa Tenggara
CUST-0269,Nani Wibowo,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0270,Maya Santoso,Consumer,Semarang,Jawa
CUST-0271,Maya Lestari,Home Office,Denpasar,Bali & Nusa Tenggara
CUST-0272,Rina Wijaya,Home Office,Denpasar,Bali & Nusa Tenggara
CUST-0273,Maya Prasetyo,Home Office,Medan,Sumatra
CUST-0274,Lestari Suryani,Home Office,Balikpapan,Kalimantan
CUST-0275,Titi Hidayat,Corporate,Yogyakarta,Jawa
CUST-0276,Agus Utami,Corporate,Jakarta Selatan,Jawa
CUST-0277,Bambang Suryani,Corporate,Semarang,Jawa
CUST-0278,Bambang Saputra,Corporate,Bandung,Jawa
CUST-0279,Indah Pertiwi,Corporate,Denpasar,Bali & Nusa Tenggara
CUST-0280,Dewi Prasetyo,Corporate,Yogyakarta,Jawa
CUST-0281,Dian Utami,Home Office,Bandung,Jawa
CUST-0282,Hendra Saputra,Consumer,Bandung,Jawa
CUST-0283,Rizky Nugroho,Consumer,Balikpapan,Kalimantan
CUST-0284,Titi Wijaya,Consumer,Palembang,Sumatra
CUST-0285,Yudi Wijaya,Corporate,Semarang,Jawa
CUST-0286,Indah Prasetyo,Consumer,Makassar,Sulawesi
CUST-0287,Lestari Hidayat,Consumer,Medan,Sumatra
CUST-0288,Rina Wijaya,Corporate,Jakarta Selatan,Jawa
CUST-0289,Yudi Pertiwi,Consumer,Jakarta Selatan,Jawa
CUST-0290,Rina Hidayat,Corporate,Surabaya,Jawa
CUST-0291,Lestari Utami,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0292,Titi Wibowo,Consumer,Balikpapan,Kalimantan
CUST-0293,Rian Hadi,Home Office,Medan,Sumatra
CUST-0294,Hendra Hidayat,Consumer,Bandung,Jawa
CUST-0295,Andi Prasetyo,Consumer,Makassar,Sulawesi
CUST-0296,Yudi Lestari,Corporate,Yogyakarta,Jawa
CUST-0297,Siti Santoso,Corporate,Medan,Sumatra
CUST-0298,Hendra Utami,Consumer,Palembang,Sumatra
CUST-0299,Bambang Aminah,Corporate,Surabaya,Jawa
CUST-0300,Nani Prasetyo,Consumer,Yogyakarta,Jawa
